"bird_ID","date","bird_played","key_pecked"
"2","3/10/2017","b85w66",287
"2","3/10/2017","pu54bl21",8
"2","3/10/2017","y7wh27",164
"2","3/13/2017","bl17y31_UD",168
"2","3/13/2017","bl1p1_UD",164
"2","3/14/2017","bl17bl57_FD",405
"2","3/14/2017","bl32gy22_UD",712
"2","3/15/2017","p3y3",495
"2","3/15/2017","pu46w46",455
"2","3/22/2017","b85w66",295
"2","3/22/2017","pu54bl21",172
"2","3/23/2017","pu35pu36_UD",128
"2","3/23/2017","y40b7_UD",315
"2","3/26/2017","bl17bl57_FD",153
"2","3/26/2017","bl32gy22_UD",262
"2","3/27/2017","p3y3",186
"2","3/27/2017","pu46w46",86
"2","3/29/2017","b85w66",76
"2","3/29/2017","pu54bl21",91
"2","3/30/2017","pu35pu36_UD",357
"2","3/30/2017","y40b7_UD",535
"2","3/31/2017","bl17y31_UD",234
"2","3/31/2017","bl1p1_UD",253
"2","4/10/2017","pu35pu36_UD",117
"2","4/10/2017","y40b7_UD",256
"2","4/12/2017","bl17bl57_FD",222
"2","4/12/2017","bl32gy22_UD",590
"2","4/2/2017","bl17bl57_FD",286
"2","4/2/2017","bl32gy22_UD",899
"2","4/3/2017","p3y3",128
"2","4/3/2017","pu46w46",53
"2","4/7/2017","p3y3",138
"2","4/7/2017","pu46w46",182
"2","4/8/2017","bl17y31_UD",114
"2","4/8/2017","bl1p1_UD",88
"2","4/9/2017","b85w66",119
"2","4/9/2017","pu54bl21",158
"2","6/27/2017","bl17bl57_FD",263
"2","6/27/2017","bl32gy22_UD",33
"2","6/28/2017","bl32gy22_UD",1
"2","6/28/2017","pu35pu36_UD",4
"2","6/28/2017","y40b7_UD",439
"2","6/29/2017","pu35pu36_UD",128
"2","6/29/2017","y40b7_UD",222
"2","6/30/2017","pu35pu36_UD",136
"2","6/30/2017","y40b7_UD",130
"2","7/10/2017","yelred_FD",257
"2","7/10/2017","yelred_UD",143
"2","7/11/2017","bkor_FD",1
"2","7/11/2017","bkor_UD",4
"2","7/11/2017","yelred_FD",76
"2","7/11/2017","yelred_UD",101
"2","8/30/2017","bl17bl57_FD",382
"2","8/30/2017","bl32gy22_UD",43
"2","9/1/2017","pu35pu36_UD",582
"2","9/1/2017","y40b7_UD",411
"2","9/2/2017","y40b7_UD",311
"2","9/2/2017","y7wh27",305
"3","3/10/2017","pu54bl21",53
"3","3/10/2017","y7wh27",17
"3","3/13/2017","bl17y31_UD",42
"3","3/13/2017","bl1p1_UD",66
"3","3/14/2017","bl17bl57_FD",1077
"3","3/14/2017","bl32gy22_UD",298
"3","3/15/2017","p3y3",267
"3","3/15/2017","pu46w46",316
"3","3/22/2017","b85w66",139
"3","3/22/2017","pu54bl21",142
"3","3/23/2017","pu35pu36_UD",275
"3","3/23/2017","y40b7_UD",765
"3","3/24/2017","bl17y31_UD",612
"3","3/24/2017","bl1p1_UD",566
"3","3/26/2017","bl17bl57_FD",1318
"3","3/26/2017","bl32gy22_UD",558
"3","3/27/2017","p3y3",903
"3","3/27/2017","pu46w46",1101
"3","3/29/2017","b85w66",183
"3","3/29/2017","pu54bl21",498
"3","3/30/2017","pu35pu36_UD",1524
"3","3/30/2017","y40b7_UD",1158
"3","3/31/2017","bl17y31_UD",921
"3","3/31/2017","bl1p1_UD",584
"3","4/10/2017","bl17bl57_FD",616
"3","4/10/2017","bl32gy22_UD",1059
"3","4/12/2017","b85w66",1141
"3","4/12/2017","pu54bl21",1964
"3","4/2/2017","bl17bl57_FD",1503
"3","4/2/2017","bl32gy22_UD",950
"3","4/3/2017","p3y3",689
"3","4/3/2017","pu46w46",617
"3","4/7/2017","pu35pu36_UD",1323
"3","4/7/2017","y40b7_UD",1944
"3","4/8/2017","p3y3",2165
"3","4/8/2017","pu46w46",1258
"3","4/9/2017","bl17y31_UD",340
"3","4/9/2017","bl1p1_UD",474
"3","5/11/2017","p3y3",15
"3","5/11/2017","pu46w46",7
"3","5/6/2017","p3y3",28
"3","5/6/2017","pu46w46",125
"3","5/9/2017","p3y3",13
"3","5/9/2017","pu46w46",8
"3","7/11/2017","yelred_FD",114
"3","7/11/2017","yelred_UD",29
"3","7/12/2017","bkor_FD",330
"3","7/12/2017","bkor_UD",435
"3","7/12/2017","yelred_FD",13
"3","7/12/2017","yelred_UD",3
"3","7/17/2017","bkor_FD",238
"3","7/17/2017","bkor_UD",524
"3","7/18/2017","bkor_FD",357
"3","7/18/2017","bkor_UD",402
"3","7/19/2017","bkor_UD",63
"3","7/19/2017","pu35pu36_UD",151
"3","7/4/2017","bl17bl57_FD",496
"3","7/4/2017","bl32gy22_UD",17
"3","9/1/2017","bl17bl57_FD",71
"3","9/1/2017","bl32gy22_UD",2
"3","9/2/2017","bl32gy22_UD",7
"3","9/2/2017","y7wh27",27
"4","1/10/2018","bl14y6_UD",60
"4","1/10/2018","pu55bl08_FD",12
"4","1/10/2018","yelred_FD",45
"4","1/10/2018","yelred_UD",3
"4","1/12/2018","bl14y6_UD",1
"4","1/12/2018","pu35pu36_UD",6
"4","1/12/2018","y40b7_UD",223
"4","1/15/2018","bl17y31_UD",168
"4","1/15/2018","bl1p1_UD",49
"4","1/16/2018","bl17bl57_UD",106
"4","1/16/2018","bl1p1_UD",13
"4","1/16/2018","bl32gy22_UD",7
"4","1/18/2018","bl11pu3_FD",76
"4","1/18/2018","bl14y6_UD",5
"4","1/19/2018","bl11pu3_FD",193
"4","1/19/2018","bl14y6_UD",196
"4","1/22/2018","bl14y6_UD",86
"4","1/22/2018","pu55bl08_FD",419
"4","1/24/2018","bl14y6_FD",196
"4","1/24/2018","pu55bl08_FD",213
"4","1/25/2018","bl14y6_FD",138
"4","1/25/2018","bl14y6_UD",72
"4","1/29/2018","bl11pu3_FD",374
"4","1/29/2018","bl14y6_FD",337
