"bird_ID","date","bird_played","key_pecked"
"0","1/24/2020","bl80bk11_UD",2
"0","1/30/2020","pu55bl08_UD",7
"1","2/12/2018","test",7
"1","2/12/2018","y7wh27",3
"1","8/20/2019","yelgrn_FD",1
"1","8/21/2019","batch2_pu51bl17",3
"1","8/21/2019","yelgrn_FD",4
"2","1/17/2020","bl11pu3_UD",7
"2","1/17/2020","bl49gy31_FD",1
"2","1/17/2020","pi183y24_UD",7
"2","3/10/2017","b85w66",294
"2","3/10/2017","pu54bl21",162
"2","3/10/2017","y7wh27",174
"2","3/11/2017","pu35pu36_UD",154
"2","3/11/2017","y40b7_UD",256
"2","3/13/2017","bl17y31_UD",202
"2","3/13/2017","bl1p1_UD",184
"2","3/14/2017","bl17bl57_FD",412
"2","3/14/2017","bl32gy22_UD",724
"2","3/15/2017","p3y3",518
"2","3/15/2017","pu46w46",516
"2","3/22/2017","b85w66",306
"2","3/22/2017","pu54bl21",208
"2","3/23/2017","pu35pu36_UD",136
"2","3/23/2017","y40b7_UD",340
"2","3/24/2017","bl17y31_UD",96
"2","3/24/2017","bl1p1_UD",64
"2","3/9/2017","y7wh27",488
"2","4/1/2017","bl17y31_UD",44
"2","4/10/2017","pu35pu36_UD",126
"2","4/10/2017","y40b7_UD",268
"2","4/12/2017","bl17bl57_FD",228
"2","4/12/2017","bl32gy22_UD",596
"2","4/7/2017","p3y3",144
"2","4/7/2017","pu46w46",188
"2","4/8/2017","bl17y31_UD",154
"2","4/8/2017","bl1p1_UD",150
"2","5/11/2017","y7wh27",6
"2","5/12/2017","bl17bl57_FD",2
"2","6/10/2017","y7wh27",12
"2","6/11/2017","y7wh27",8
"2","6/12/2017","y7wh27",18
"2","6/13/2017","y7wh27",18
"2","6/14/2017","y7wh27",44
"2","6/15/2017","y7wh27",4
"2","6/16/2017","y7wh27",8
"2","6/17/2017","y7wh27",7
"2","6/18/2017","y7wh27",8
"2","6/19/2017","y7wh27",23
"2","6/20/2017","y7wh27",25
"2","6/21/2017","y7wh27",2
"2","6/27/2017","bl17bl57_FD",279
"2","6/27/2017","bl32gy22_UD",39
"2","6/28/2017","bl17bl57_FD",6
"2","6/28/2017","bl32gy22_UD",2
"2","6/28/2017","pu35pu36_UD",101
"2","6/28/2017","y40b7_UD",442
"2","6/29/2017","pu35pu36_UD",135
"2","6/29/2017","y40b7_UD",251
"2","6/30/2017","pu35pu36_UD",191
"2","6/30/2017","y40b7_UD",148
"2","6/6/2017","y7wh27",6
"2","6/7/2017","y7wh27",4
"2","6/8/2017","y7wh27",14
"2","6/9/2017","y7wh27",8
"2","7/10/2017","yelred_FD",264
"2","7/10/2017","yelred_UD",167
"2","7/12/2017","bkor_UD",28
"2","7/19/2017","pu35pu36_UD",131
"2","7/19/2017","y40b7_UD",252
"2","7/20/2017","pu35pu36_UD",193
"2","7/20/2017","y40b7_UD",874
"2","7/23/2017","bkor_FD",280
"2","7/23/2017","bkor_UD",593
"2","7/24/2017","bkor_FD",60
"2","7/24/2017","bkor_UD",32
"2","7/25/2017","bkor_FD",39
"2","7/25/2017","bkor_UD",91
"2","7/26/2017","bkor_FD",22
"2","7/26/2017","bkor_UD",13
"2","7/6/2017","bl17bl57_FD",11
"2","7/6/2017","bl32gy22_UD",5
"2","7/7/2017","bl17bl57_FD",43
"2","8/20/2019","yelgrn_FD",2
"2","8/21/2019","yelgrn_FD",20
"2","8/28/2017","y7wh27",1186
"2","8/29/2017","y7wh27",1201
"2","8/30/2017","bl17bl57_FD",392
"2","8/30/2017","bl32gy22_UD",50
"2","8/31/2017","bl17bl57_FD",218
"2","8/31/2017","bl32gy22_UD",23
"2","9/1/2017","pu35pu36_UD",589
"2","9/1/2017","y40b7_UD",418
"2","9/2/2017","pu35pu36_UD",91
"2","9/2/2017","y40b7_UD",314
"2","9/2/2017","y7wh27",1030
"3","1/24/2020","bl4b13_UD",2
"3","1/24/2020","blk17_UD",4
"3","1/24/2020","r16y36",8
"3","2/12/2018","test",6
"3","3/10/2017","b85w66",104
"3","3/10/2017","pu54bl21",128
"3","3/10/2017","y7wh27",22
"3","3/11/2017","pu35pu36_UD",348
"3","3/11/2017","y40b7_UD",134
"3","3/13/2017","bl17y31_UD",56
"3","3/13/2017","bl1p1_UD",72
"3","3/14/2017","bl17bl57_FD",1094
"3","3/14/2017","bl32gy22_UD",320
"3","3/15/2017","p3y3",296
"3","3/15/2017","pu46w46",322
"3","3/22/2017","b85w66",238
"3","3/22/2017","pu54bl21",150
"3","3/23/2017","pu35pu36_UD",302
"3","3/23/2017","y40b7_UD",912
"3","3/24/2017","bl17y31_UD",630
"3","3/24/2017","bl1p1_UD",574
"3","3/7/2017","example1",8
"3","3/9/2017","y7wh27",136
"3","4/10/2017","bl17bl57_FD",666
"3","4/10/2017","bl32gy22_UD",1224
"3","4/12/2017","b85w66",1152
"3","4/12/2017","pu54bl21",1974
"3","4/7/2017","pu35pu36_UD",1330
"3","4/7/2017","y40b7_UD",1962
"3","4/8/2017","p3y3",2336
"3","4/8/2017","pu46w46",1296
"3","5/10/2017","p3y3",4
"3","5/10/2017","pu46w46",18
"3","5/11/2017","p3y3",22
"3","5/11/2017","pu46w46",14
"3","5/19/2017","pu46w46",2
"3","5/4/2017","pu46w46",4
"3","5/5/2017","p3y3",144
"3","5/5/2017","pu46w46",26
"3","5/9/2017","p3y3",30
"3","5/9/2017","pu46w46",24
"3","6/10/2017","y7wh27",315
"3","6/11/2017","y7wh27",397
"3","6/12/2017","y7wh27",840
"3","6/13/2017","y7wh27",466
"3","6/14/2017","y7wh27",477
"3","6/15/2017","y7wh27",324
"3","6/16/2017","y7wh27",46
"3","6/17/2017","y7wh27",131
"3","6/18/2017","y7wh27",252
"3","6/19/2017","y7wh27",67
"3","6/20/2017","bl4b13_UD",49
"3","6/21/2017","bl4b13_UD",62
"3","6/22/2017","bl4b13_UD",17
"3","6/27/2017","bl17bl57_FD",804
"3","6/27/2017","bl32gy22_UD",1
"3","6/28/2017","bl17bl57_FD",232
"3","6/29/2017","bl17bl57_FD",428
"3","6/30/2017","bl17bl57_FD",114
"3","6/6/2017","y7wh27",10
"3","6/7/2017","y7wh27",496
"3","6/8/2017","y7wh27",821
"3","6/9/2017","y7wh27",471
"3","7/10/2017","yelred_FD",398
"3","7/10/2017","yelred_UD",269
"3","7/12/2017","bkor_FD",352
"3","7/12/2017","bkor_UD",441
"3","7/12/2017","yelred_FD",13
"3","7/12/2017","yelred_UD",5
"3","7/13/2017","bkor_FD",211
"3","7/13/2017","bkor_UD",322
"3","7/14/2017","bkor_FD",187
"3","7/15/2017","bkor_FD",144
"3","7/16/2017","bkor_FD",178
"3","7/17/2017","bkor_FD",245
"3","7/17/2017","bkor_UD",534
"3","7/19/2017","bkor_FD",277
"3","7/19/2017","bkor_UD",66
"3","7/19/2017","pu35pu36_UD",154
"3","7/19/2017","y40b7_UD",142
"3","7/20/2017","pu35pu36_UD",195
"3","7/20/2017","y40b7_UD",397
"3","7/23/2017","bl17bl57_FD",391
"3","7/23/2017","bl32gy22_UD",90
"3","7/24/2017","bl17bl57_FD",137
"3","7/24/2017","bl32gy22_UD",93
"3","7/25/2017","bl17bl57_FD",68
"3","7/25/2017","bl32gy22_UD",5
"3","7/26/2017","bl17bl57_FD",10
"3","7/26/2017","bl32gy22_UD",1
"3","7/3/2017","bl17bl57_FD",66
"3","7/4/2017","bl17bl57_FD",504
"3","7/4/2017","bl32gy22_UD",26
"3","7/5/2017","bl17bl57_FD",106
"3","7/5/2017","bl32gy22_UD",21
"3","7/6/2017","pu35pu36_UD",123
"3","7/6/2017","y40b7_UD",572
"3","7/7/2017","pu35pu36_UD",37
"3","7/7/2017","y40b7_UD",148
"3","8/21/2019","b85w66",11
"3","8/21/2019","example1",1
"3","8/28/2017","y7wh27",24
"3","8/29/2017","y7wh27",118
"3","8/31/2017","pu35pu36_UD",7
"3","8/31/2017","y40b7_UD",17
"3","9/1/2017","bl17bl57_FD",78
"3","9/1/2017","bl32gy22_UD",31
"3","9/2/2017","bl17bl57_FD",25
"3","9/2/2017","bl32gy22_UD",10
"3","9/2/2017","y7wh27",166
"4","1/10/2018","bl14y6_FD",45
"4","1/10/2018","bl14y6_UD",21
"4","1/10/2018","pu55bl08_FD",98
"4","1/10/2018","yelred_FD",45
"4","1/10/2018","yelred_UD",65
"4","1/11/2018","bl14y6_FD",118
"4","1/11/2018","bl14y6_UD",316
"4","1/11/2018","pu55bl08_FD",43
"4","1/12/2018","bl14y6_FD",125
"4","1/12/2018","bl14y6_UD",65
"4","1/12/2018","pu35pu36_UD",221
"4","1/12/2018","y40b7_UD",228
"4","1/13/2018","pu35pu36_UD",3
"4","1/13/2018","y40b7_UD",434
"4","1/14/2018","pu35pu36_UD",14
"4","1/14/2018","y40b7_UD",156
"4","1/16/2018","bl17bl57_UD",118
"4","1/16/2018","bl17y31_UD",83
"4","1/16/2018","bl1p1_UD",16
"4","1/16/2018","bl32gy22_UD",60
"4","1/17/2018","bl17bl57_UD",103
"4","1/17/2018","bl32gy22_UD",1
"4","1/18/2018","bl11pu3_FD",131
"4","1/18/2018","bl14y6_FD",82
"4","1/18/2018","bl14y6_UD",47
"4","1/19/2018","bl11pu3_FD",199
"4","1/19/2018","bl14y6_FD",133
"4","1/19/2018","bl14y6_UD",69
"4","1/20/2018","bl11pu3_FD",62
"4","1/20/2018","bl14y6_FD",5
"4","1/20/2018","bl14y6_UD",1
"4","1/22/2018","bl14y6_FD",65
"4","1/22/2018","bl14y6_UD",27
"4","1/22/2018","pu55bl08_FD",454
"4","1/24/2018","bl14y6_FD",202
"4","1/24/2018","pu55bl08_FD",306
"4","1/25/2018","bl14y6_FD",168
"4","1/25/2018","bl14y6_UD",82
"4","1/26/2018","bl14y6_FD",59
"4","1/26/2018","bl14y6_UD",139
"4","1/27/2018","bl14y6_FD",28
"4","1/27/2018","bl14y6_UD",74
"4","1/28/2018","bl14y6_FD",20
"4","1/28/2018","bl14y6_UD",52
"4","1/29/2018","bl11pu3_FD",400
"4","1/29/2018","bl14y6_FD",486
"4","1/29/2018","bl14y6_UD",9
"4","1/3/2018","y7wh27",46
"4","1/4/2018","y7wh27",25
"4","1/5/2018","y7wh27",112
"4","1/6/2018","y7wh27",304
"4","1/7/2018","y7wh27",143
"4","1/8/2018","bkor_FD",242
"4","1/8/2018","bkor_UD",86
"4","1/8/2018","y7wh27",1
"4","1/9/2018","bkor_FD",1
"4","1/9/2018","bkor_UD",80
"4","1/9/2018","yelred_FD",191
"4","1/9/2018","yelred_UD",123
"4","2/10/2018","bl11pu3_FD",601
"4","2/10/2018","bl14y6_FD",449
"4","2/10/2018","yelgrn_FD",18
"4","2/10/2018","yelgrn_UD",71
"4","2/3/2018","yelgrn_FD",146
"4","2/3/2018","yelgrn_UD",46
"4","2/4/2018","yelgrn_FD",105
"4","2/4/2018","yelgrn_UD",349
"4","2/6/2018","bl11pu3_FD",712
"4","2/6/2018","bl14y6_FD",475
"4","2/8/2018","bl14y6_FD",134
"4","2/8/2018","bl14y6_UD",268
"4","2/9/2018","yelgrn_FD",141
"4","2/9/2018","yelgrn_UD",97
"4","3/10/2017","b85w66",342
"4","3/10/2017","pu54bl21",188
"4","3/10/2017","y7wh27",56
"4","3/11/2017","pu35pu36_UD",96
"4","3/13/2017","bl17y31_UD",224
"4","3/13/2017","bl1p1_UD",206
"4","3/14/2017","bl17bl57_FD",944
"4","3/14/2017","bl32gy22_UD",482
"4","3/15/2017","p3y3",160
"4","3/15/2017","pu46w46",316
"4","3/16/2017","p3y3",20
"4","3/16/2017","pu46w46",30
"4","3/17/2017","p3y3",22
"4","3/22/2017","b85w66",96
"4","3/22/2017","pu54bl21",28
"4","3/23/2017","pu35pu36_UD",428
"4","3/23/2017","y40b7_UD",206
"4","3/24/2017","bl17y31_UD",182
"4","3/24/2017","bl1p1_UD",164
"4","3/7/2017","example1",26
"4","3/9/2017","y7wh27",106
"4","4/1/2017","bl1p1_UD",140
"4","4/10/2017","bl17y31_UD",128
"4","4/10/2017","bl1p1_UD",156
"4","4/12/2017","pu35pu36_UD",162
"4","4/12/2017","y40b7_UD",234
"4","4/7/2017","bl17bl57_FD",62
"4","4/7/2017","bl32gy22_UD",30
"4","4/8/2017","b85w66",62
"4","4/8/2017","pu54bl21",236
"4","5/1/2017","y7wh27",24
"4","5/10/2017","pu35pu36_UD",356
"4","5/10/2017","y40b7_UD",82
"4","5/11/2017","p3y3",1550
"4","5/11/2017","pu46w46",416
"4","5/12/2017","b85w66",1430
"4","5/12/2017","pu54bl21",456
"4","5/13/2017","b85w66",24
"4","5/13/2017","pu54bl21",854
"4","5/14/2017","bl17y31_UD",604
"4","5/14/2017","bl1p1_UD",2432
"4","5/16/2017","bl17y31_UD",212
"4","5/16/2017","bl1p1_UD",648
"4","5/17/2017","bl17bl57_FD",328
"4","5/17/2017","bl32gy22_UD",1226
"4","5/18/2017","b85w66",68
"4","5/18/2017","pu54bl21",62
"4","5/19/2017","b85w66",34
"4","5/19/2017","bl17y31_UD",414
"4","5/19/2017","bl1p1_UD",940
"4","5/19/2017","pu54bl21",80
"4","5/2/2017","y7wh27",58
"4","5/20/2017","p3y3",474
"4","5/20/2017","pu46w46",684
